epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2633.59,0.48812,0.43822,0.87959,0.99666,0.96359,0.986,0.89602,0.43017,0.37821,0.85481,0.000547306,0.000547306,0.000547306
43,2695.84,0.48785,0.43416,0.8782,0.9886,0.96678,0.98654,0.90058,0.42189,0.37985,0.84971,0.000533558,0.000533558,0.000533558
44,2758.05,0.50593,0.44384,0.88366,0.98765,0.97471,0.98637,0.90059,0.41629,0.37191,0.84596,0.000519809,0.000519809,0.000519809
45,2821.14,0.48514,0.42697,0.88443,0.98596,0.97455,0.98987,0.90336,0.41875,0.37569,0.8485,0.00050606,0.00050606,0.00050606
46,2883.96,0.48516,0.4413,0.88961,0.97841,0.97322,0.98952,0.89713,0.41564,0.37923,0.845,0.000492312,0.000492312,0.000492312
47,2946.13,0.47951,0.4198,0.87973,0.98941,0.95617,0.9879,0.89807,0.4316,0.37904,0.84883,0.000478563,0.000478563,0.000478563
48,3008.03,0.47662,0.41735,0.87595,0.99262,0.9578,0.98938,0.90258,0.41004,0.3692,0.84691,0.000464815,0.000464815,0.000464815
49,3070.64,0.47198,0.4185,0.87898,0.98944,0.97448,0.99039,0.90043,0.42033,0.3702,0.85364,0.000451066,0.000451066,0.000451066
50,3133.34,0.48694,0.41714,0.87658,0.98888,0.96828,0.98937,0.90085,0.41068,0.36584,0.84611,0.000437317,0.000437317,0.000437317
51,3196.19,0.46772,0.40833,0.87561,0.99436,0.97276,0.98956,0.90143,0.41337,0.36254,0.85101,0.000423569,0.000423569,0.000423569
52,3258.33,0.46231,0.40338,0.87672,0.99653,0.97074,0.99026,0.90355,0.40557,0.35781,0.84647,0.00040982,0.00040982,0.00040982
